school_name,type,lat,lng
당산서중학교,중학교,37.53248394,126.8988251
서울용마초등학교,초등학교,37.55782735,127.0835274
서울용원초등학교,초등학교,37.62992285,127.0689401
연북중학교,중학교,37.57758095,126.9384801
상계제일중학교,중학교,37.6610756,127.0780785
경기초등학교,초등학교,37.56511029,126.9628606
태랑중학교,중학교,37.62698409,127.0913718
방화중학교,중학교,37.56433471,126.8071069
강일중학교,중학교,37.5553497,127.1382586
명덕여자고등학교,고등학교,37.55394399,126.8342914
한강미디어고등학교,고등학교,37.53929145,126.8972599
서울장평초등학교,초등학교,37.57399502,127.073891
휘문고등학교,고등학교,37.50528945,127.0619939
동국대학교사범대학부속가람중학교,중학교,37.54192936,127.0869731
서울수서초등학교,초등학교,37.49115148,127.1015496
서울가재울초등학교,초등학교,37.57376442,126.9183891
덕수고등학교,고등학교,37.48528924,127.1468965
영원중학교,중학교,37.51497419,126.9136469
현대고등학교,고등학교,37.5254805,127.0223773
서울상수초등학교,초등학교,37.65110502,127.0647586
서울묵현초등학교,초등학교,37.60908041,127.0736243
성산중학교,중학교,37.54731637,126.9165628
영락고등학교,고등학교,37.47654259,126.9454164
서울서래초등학교,초등학교,37.496404,126.9901565
문래중학교,중학교,37.52041829,126.8841404
문정중학교,중학교,37.48848095,127.1300209
서울탑동초등학교,초등학교,37.45251655,126.9153675
서울수암초등학교,초등학교,37.64769283,127.0814646
세화여자중학교,중학교,37.5019828,126.99423
서울대곡초등학교,초등학교,37.49471064,127.0650265
잠실고등학교,고등학교,37.52293043,127.106515
광운중학교,중학교,37.61923977,127.0565452
대동세무고등학교,고등학교,37.58158273,126.9879513
대성고등학교,고등학교,37.62316122,126.9097907
신동중학교,중학교,37.5169159,127.0129154
단국대학교사범대학부속중학교,중학교,37.49561749,127.0577682
배명중학교,중학교,37.4976895,127.0958118
서울서빙고초등학교,초등학교,37.52206892,126.9923004
은석초등학교,초등학교,37.57855999,127.0757616
인수중학교,중학교,37.64386667,127.0099213
건국대학교사범대학부속고등학교,고등학교,37.53918267,127.0747119
문성중학교,중학교,37.4754682,126.9084938
서울위례솔초등학교,초등학교,37.48701307,127.1505867
